Code,Stock,Company,Sector,Market,Price,EPS,ROE,YoY,QoQ,ConQ,TopQ,RYoY,RQoQ,RConQ,RTopQ
1724,PARAMON,PARAMOUNT CORPORATION BERHAD,Property,Main Market,0.870,84.98,36.79,Yes,No,No,No,No,No,No,No
03036,RPLANET,REDPLANET BERHAD,Technology,Leap Market,0.325,3.37,36.11,No,No,No,No,No,No,No,No
5105,CANONE,CAN-ONE BERHAD,Industrial Products & Services,Main Market,2.890,330.49,36.08,No,No,No,No,No,No,No,No
2127,COMFORT,COMFORT GLOVES BERHAD,Industrial Products & Services,Main Market,3.280,27.40,35.58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9792,SEG,SEG INTERNATIONAL BHD,Consumer Products & Services,Main Market,0.630,3.25,34.20,No,No,No,No,No,No,No,No
03025,ENEST,ENEST GROUP BERHAD,Consumer Products & Services,Leap Market,0.130,1.07,33.17,No,No,No,No,No,No,No,No
0208,GREATEC,GREATECH TECHNOLOGY BERHAD,Technology,Ace Market,8.260,12.35,30.34,No,Yes,No,Yes,No,Yes,No,Yes
7501,HARNLEN,HARN LEN CORPORATION BHD,Plantation,Main Market,0.690,49.41,29.95,Yes,Yes,No,Yes,Yes,Yes,No,No
5168,HARTA,HARTALEGA HOLDINGS BERHAD,Health Care,Main Market,11.980,29.22,29.51,Yes,Yes,No,Yes,Yes,Yes,No,Yes
0138,MYEG,MY E.G. SERVICES BERHAD,Technology,Main Market,1.980,7.17,28.99,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
5292,UWC,UWC BERHAD,Technology,Main Market,8.820,12.41,28.85,No,Yes,Yes,Yes,No,Yes,Yes,Yes
0126,MICROLN,MICROLINK SOLUTIONS BERHAD,Technology,Ace Market,2.040,7.16,28.66,Yes,Yes,No,Yes,Yes,No,No,No
03017,UNIWALL,UNI WALL APS HOLDINGS BERHAD,Construction,Leap Market,0.700,1.98,28.31,No,No,No,No,No,No,No,No
03005,MHCARE,METRO HEALTHCARE BERHAD,Health Care,Leap Market,1.080,2.66,28.03,No,No,No,Yes,No,Yes,No,No
5136,COMPLET,COMPLETE LOGISTIC SERVICES BERHAD,Transportation & Logistics,Main Market,0.690,34.74,27.57,Yes,No,No,No,No,No,No,No
5024,HUPSENG,HUP SENG INDUSTRIES BERHAD,Consumer Products & Services,Main Market,0.965,4.80,26.69,No,No,No,No,Yes,Yes,No,No
